rank,pair,Cbalanced,Cmean,c_0,c_1,C_ab,C_ba,P_ab,P_ba,wall_seconds
1,4v9,1.626005,2.288867,2.951729,1.626005,3.252009,5.903458,1.000,1.000,5.9
2,3v5,1.412899,1.725184,2.037470,1.412899,2.825798,4.074940,1.000,1.000,6.8
3,3v8,1.123529,1.208126,1.292724,1.123529,2.247059,2.585447,1.000,1.000,7.1
4,7v9,1.117779,1.458066,1.798353,1.117779,2.235557,3.596705,1.000,1.000,5.9
5,2v8,1.107732,1.207523,1.307313,1.107732,2.215465,2.614627,1.000,1.000,6.8
6,5v8,1.104990,1.262894,1.420799,1.104990,2.209980,2.841598,1.000,1.000,6.0
7,7v8,0.859318,0.988749,1.118180,0.859318,1.718635,2.236359,1.000,1.000,6.0
8,8v9,0.850916,1.138775,1.426634,0.850916,1.701833,2.853268,1.000,1.000,5.9
9,0v5,0.849228,1.053440,1.257652,0.849228,1.698456,2.515304,1.000,1.000,7.0
10,1v2,0.818181,1.015625,1.213069,0.818181,1.636362,2.426139,1.000,1.000,6.8
11,1v8,0.814368,0.897936,0.981505,0.814368,1.628735,1.963009,1.000,1.000,6.7
12,2v6,0.758091,0.956430,1.154768,0.758091,1.516182,2.309536,1.000,1.000,6.8
13,4v7,0.754523,1.096009,1.437494,0.754523,1.509047,2.874988,1.000,1.000,7.0
14,5v6,0.718407,0.867903,1.017398,0.718407,1.436815,2.034796,1.000,1.000,5.9
15,4v8,0.678193,0.981865,1.285537,0.678193,1.356386,2.571074,1.000,1.000,6.8
16,3v9,0.665415,0.932141,1.198866,0.665415,1.330831,2.397732,1.000,1.000,7.0
17,3v7,0.663542,0.804640,0.945738,0.663542,1.327085,1.891476,1.000,1.000,6.2
18,2v5,0.641783,0.862387,1.082990,0.641783,1.283565,2.165981,1.000,1.000,7.0
19,2v3,0.638712,0.964502,1.290292,0.638712,1.277423,2.580584,1.000,1.000,7.0
20,2v7,0.637386,0.864743,1.092099,0.637386,1.274772,2.184198,1.000,1.000,6.7
21,0v3,0.616659,0.788229,0.959800,0.616659,1.233319,1.919599,1.000,1.000,6.6
22,5v9,0.613529,0.902584,1.191639,0.613529,1.227058,2.383277,1.000,1.000,6.0
23,2v4,0.598544,0.804256,1.009967,0.598544,1.197089,2.019933,1.000,1.000,6.6
24,4v6,0.597122,0.787260,0.977398,0.597122,1.194243,1.954796,1.000,1.000,6.7
25,5v7,0.594038,0.783952,0.973866,0.594038,1.188077,1.947732,1.000,1.000,6.0
26,2v9,0.587693,0.821588,1.055482,0.587693,1.175386,2.110964,1.000,1.000,6.9
27,4v5,0.586973,0.901412,1.215851,0.586973,1.173946,2.431702,1.000,1.000,6.7
28,6v8,0.584217,0.742899,0.901580,0.584217,1.168433,1.803161,1.000,1.000,6.0
29,1v5,0.573108,0.683882,0.794656,0.573108,1.146216,1.589313,1.000,1.000,6.7
30,0v2,0.559112,0.765351,0.971591,0.559112,1.118223,1.943183,1.000,1.000,7.1
31,3v4,0.554948,0.739079,0.923210,0.554948,1.109895,1.846420,1.000,1.000,6.7
32,0v8,0.551766,0.638751,0.725737,0.551766,1.103533,1.451473,1.000,1.000,6.8
33,1v6,0.546000,0.644264,0.742527,0.546000,1.092000,1.485054,1.000,1.000,6.7
34,1v3,0.526515,0.721638,0.916761,0.526515,1.053030,1.833523,1.000,1.000,6.8
35,1v7,0.522577,0.684231,0.845886,0.522577,1.045154,1.691772,1.000,1.000,6.8
36,1v9,0.494947,0.658327,0.821707,0.494947,0.989894,1.643414,1.000,1.000,7.0
37,3v6,0.437402,0.626639,0.815876,0.437402,0.874804,1.631752,1.000,1.000,6.9
38,1v4,0.435196,0.577613,0.720029,0.435196,0.870393,1.440058,1.000,1.000,7.1
39,0v7,0.407582,0.598195,0.788809,0.407582,0.815164,1.577617,1.000,1.000,6.9
40,6v9,0.406192,0.609786,0.813380,0.406192,0.812385,1.626761,1.000,1.000,5.9
41,0v1,0.404238,0.522420,0.640601,0.404238,0.808477,1.281202,1.000,1.000,6.6
42,0v6,0.382046,0.584146,0.786247,0.382046,0.764092,1.572494,1.000,1.000,6.9
43,6v7,0.333742,0.535927,0.738112,0.333742,0.667484,1.476225,1.000,1.000,5.9
44,0v4,0.303447,0.496547,0.689648,0.303447,0.606894,1.379296,1.000,1.000,7.0
45,0v9,0.299143,0.537320,0.775497,0.299143,0.598286,1.550994,1.000,1.000,7.0
