rank,pair,Cbalanced,Cmean,c_0,c_1,C_ab,C_ba,P_ab,P_ba,wall_seconds
1,4v9,1.509499,2.548439,3.587379,1.509499,3.018999,7.174758,1.000,1.000,5.9
2,3v5,1.370882,1.975017,2.579151,1.370882,2.741765,5.158303,1.000,1.000,6.8
3,2v8,1.054623,1.497455,1.940286,1.054623,2.109247,3.880571,1.000,1.000,6.8
4,5v8,1.032191,1.499949,1.967707,1.032191,2.064382,3.935415,1.000,1.000,6.0
5,7v9,1.029796,1.838363,2.646929,1.029796,2.059591,5.293859,1.000,1.000,5.9
6,3v8,1.028767,1.457011,1.885256,1.028767,2.057533,3.770511,1.000,1.000,7.1
7,1v2,0.842452,1.270143,1.697833,0.842452,1.684905,3.395666,1.000,1.000,6.8
8,7v8,0.833433,1.249668,1.665903,0.833433,1.666866,3.331807,1.000,1.000,6.0
9,8v9,0.792173,1.476386,2.160599,0.792173,1.584345,4.321197,1.000,1.000,5.9
10,0v5,0.791770,1.313030,1.834289,0.791770,1.583541,3.668579,1.000,1.000,7.0
11,2v6,0.787175,1.248286,1.709396,0.787175,1.574350,3.418792,1.000,1.000,6.8
12,1v8,0.786820,1.136803,1.486786,0.786820,1.573639,2.973572,1.000,1.000,6.7
13,5v6,0.725343,1.112332,1.499322,0.725343,1.450685,2.998644,1.000,1.000,5.9
14,3v9,0.724872,1.265769,1.806666,0.724872,1.449744,3.613332,1.000,1.000,7.0
15,3v7,0.698626,1.105298,1.511971,0.698626,1.397251,3.023942,1.000,1.000,6.2
16,5v9,0.680954,1.219271,1.757588,0.680954,1.361908,3.515175,1.000,1.000,6.0
17,2v3,0.670437,1.318816,1.967196,0.670437,1.340873,3.934392,1.000,1.000,7.0
18,4v7,0.665641,1.340328,2.015015,0.665641,1.331282,4.030031,1.000,1.000,7.0
19,2v7,0.661644,1.194014,1.726384,0.661644,1.323289,3.452767,1.000,1.000,6.7
20,5v7,0.653529,1.069621,1.485713,0.653529,1.307059,2.971426,1.000,1.000,6.0
21,4v8,0.648160,1.239502,1.830845,0.648160,1.296319,3.661690,1.000,1.000,6.8
22,2v5,0.643029,1.195906,1.748782,0.643029,1.286058,3.497565,1.000,1.000,7.0
23,6v8,0.625028,0.995725,1.366423,0.625028,1.250056,2.732845,1.000,1.000,6.0
24,2v4,0.620366,1.165951,1.711536,0.620366,1.240733,3.423073,1.000,1.000,6.6
25,3v4,0.619367,1.074869,1.530370,0.619367,1.238735,3.060740,1.000,1.000,6.7
26,2v9,0.611134,1.193452,1.775771,0.611134,1.222268,3.551541,1.000,1.000,6.9
27,4v5,0.599262,1.184225,1.769189,0.599262,1.198524,3.538378,1.000,1.000,6.7
28,0v3,0.582445,1.073671,1.564898,0.582445,1.164889,3.129797,1.000,1.000,6.6
29,1v3,0.574263,1.005741,1.437219,0.574263,1.148525,2.874438,1.000,1.000,6.8
30,1v7,0.570689,0.957513,1.344336,0.570689,1.141378,2.688672,1.000,1.000,6.8
31,4v6,0.570523,1.033950,1.497378,0.570523,1.141046,2.994755,1.000,1.000,6.7
32,1v5,0.566328,0.943825,1.321322,0.566328,1.132655,2.642644,1.000,1.000,6.7
33,1v6,0.559088,0.879339,1.199590,0.559088,1.118175,2.399181,1.000,1.000,6.7
34,1v9,0.543157,0.964321,1.385484,0.543157,1.086314,2.770968,1.000,1.000,7.0
35,0v2,0.530572,1.054955,1.579338,0.530572,1.061144,3.158676,1.000,1.000,7.1
36,3v6,0.521389,0.914452,1.307515,0.521389,1.042778,2.615029,1.000,1.000,6.9
37,0v8,0.510119,0.903975,1.297831,0.510119,1.020239,2.595663,1.000,1.000,6.8
38,0v7,0.505381,0.918197,1.331014,0.505381,1.010761,2.662028,1.000,1.000,6.9
39,1v4,0.482551,0.880905,1.279258,0.482551,0.965103,2.558516,1.000,1.000,7.1
40,0v6,0.480460,0.867394,1.254327,0.480460,0.960921,2.508653,1.000,1.000,6.9
41,0v1,0.448338,0.778003,1.107668,0.448338,0.896676,2.215336,1.000,1.000,6.6
42,6v9,0.445988,0.904457,1.362925,0.445988,0.891976,2.725850,1.000,1.000,5.9
43,6v7,0.434236,0.818565,1.202893,0.434236,0.868472,2.405786,1.000,1.000,5.9
44,0v9,0.403887,0.909915,1.415943,0.403887,0.807773,2.831886,1.000,1.000,7.0
45,0v4,0.400543,0.862234,1.323925,0.400543,0.801085,2.647850,1.000,1.000,7.0
