rank,triple,Cbalanced,Cmean,c_0,c_1,c_2,wall_seconds
1,4-7-9,1.698177,2.272472,3.201472,1.698177,1.917768,10.3
2,3-5-8,1.682531,2.041737,2.404306,2.038375,1.682531,10.4
3,6-7-9,1.658481,1.718037,1.812089,1.658481,1.683541,11.1
4,3-4-5,1.638075,1.948506,2.515846,1.691598,1.638075,10.7
5,2-4-9,1.617756,1.857853,1.986755,1.969047,1.617756,10.4
6,0-4-9,1.603252,1.812293,1.716852,2.116774,1.603252,10.3
7,4-8-9,1.562226,1.997633,2.829023,1.562226,1.601651,10.1
8,1-4-9,1.548757,1.810583,1.769387,2.113604,1.548757,10.4
9,7-8-9,1.532456,1.842676,2.314300,1.681272,1.532456,10.5
10,2-3-5,1.531229,1.781476,2.194277,1.618922,1.531229,10.4
11,0-3-5,1.529144,1.878697,2.189536,1.917411,1.529144,10.4
12,4-5-9,1.521048,2.149665,2.950339,1.521048,1.977606,11.2
13,2-5-8,1.517730,1.767212,2.260455,1.523451,1.517730,10.3
14,4-6-9,1.492884,2.117819,2.667728,1.492884,2.192844,10.8
15,5-7-9,1.460169,1.699386,2.065040,1.572950,1.460169,10.6
16,3-4-9,1.458411,1.831422,1.939468,2.096386,1.458411,11.2
17,1-2-8,1.449352,1.701715,2.154543,1.501249,1.449352,10.3
18,2-7-9,1.432830,1.670895,2.119688,1.432830,1.460166,10.5
19,1-7-9,1.419989,1.542507,1.785667,1.419989,1.421865,10.5
20,2-6-8,1.393896,1.692729,2.095849,1.393896,1.588440,10.5
21,2-3-8,1.384840,1.763588,2.327223,1.384840,1.578701,12.5
22,2-4-8,1.356015,1.654050,2.094464,1.511670,1.356015,11.1
23,1-3-5,1.353120,1.581380,1.771265,1.619754,1.353120,10.5
24,3-7-9,1.338495,1.625510,2.026076,1.511958,1.338495,11.1
25,3-4-8,1.336743,1.649375,2.111511,1.499871,1.336743,11.0
26,0-2-8,1.314704,1.601859,1.937816,1.314704,1.553058,10.6
27,3-5-7,1.302105,1.920078,2.401940,2.056188,1.302105,10.6
28,0-7-9,1.301307,1.498606,1.806023,1.388490,1.301307,10.4
