snapshot,K,m,batch,start,method,phi,time_s,iters,delta,active,converged,solver_success
K2_early_m41,2,41,0,0,ccp,0.014395754657001495,0.0007973331958055496,3,8.621575675604731e-16,2,1,1
K2_early_m41,2,41,0,0,ipopt,0.014349626978108432,0.12548020901158452,100,4.60782289614485e-05,1,0,0
K2_early_m41,2,41,0,1,ccp,0.010130820272093454,0.00039691710844635963,2,1.167661203838044e-09,2,1,1
K2_early_m41,2,41,0,1,ipopt,0.01013082069181058,0.11217091605067253,100,7.479440938124027e-10,2,1,0
K2_early_m41,2,41,0,2,ccp,0.00986661890263353,0.0005135410465300083,3,1.729050930210363e-13,2,1,1
K2_early_m41,2,41,0,2,ipopt,0.010130820180826186,0.11512283282354474,100,1.2589284042324733e-09,2,1,0
K2_early_m41,2,41,0,3,ccp,0.009416519664406927,0.0003482503816485405,2,3.809685429970178e-09,2,1,1
K2_early_m41,2,41,0,3,ipopt,0.009416523474092766,0.12399966595694423,100,1.9081958235744878e-17,2,1,0
K2_early_m41,2,41,0,4,ccp,0.014395754656757728,0.0006120000034570694,4,2.445942753892538e-13,2,1,1
K2_early_m41,2,41,0,4,ipopt,0.010130821439752292,0.11416970938444138,100,2.4077961846558082e-15,2,1,0
K2_early_m41,2,41,0,5,ccp,0.014395754656518652,0.0004887087270617485,4,4.836651912309975e-13,2,1,1
K2_early_m41,2,41,0,5,ipopt,0.014395754510438077,0.11835987493395805,100,1.4656429542236893e-10,2,1,0
K2_early_m41,2,41,0,6,ccp,0.010130821386665292,0.000517125241458416,3,5.3089395726790833e-11,2,1,1
K2_early_m41,2,41,0,6,ipopt,0.010130821439754568,0.11616949969902635,100,1.3704315460216776e-16,2,1,0
K2_early_m41,2,41,0,7,ccp,0.010130821381465309,0.000412709079682827,3,5.828937679752677e-11,2,1,1
K2_early_m41,2,41,0,7,ipopt,0.010130821439754682,0.11450795829296112,100,-3.469446951953614e-18,2,1,0
K2_early_m41,2,41,0,8,ccp,0.00941651981628841,0.0005327919498085976,3,3.6578039763757175e-09,2,1,1
K2_early_m41,2,41,0,8,ipopt,0.009416523474092262,0.12508833315223455,100,5.2562121322097255e-16,2,1,0
K2_early_m41,2,41,0,9,ccp,0.014395754612049078,0.0005835001356899738,4,4.4953155781124465e-11,2,1,1
K2_early_m41,2,41,0,9,ipopt,0.010130821439754602,0.12220683414489031,100,8.847089727481716e-17,2,1,0
K2_early_m41,2,41,1,0,ccp,0.014395754657001644,0.00047354213893413544,3,6.990935608186533e-16,2,1,1
K2_early_m41,2,41,1,0,ipopt,0.014395754657002255,0.12188733415678144,100,9.71445146547012e-17,2,1,0
K2_early_m41,2,41,1,1,ccp,0.01013082143975456,0.0005209161899983883,3,1.1796119636642288e-16,2,1,1
K2_early_m41,2,41,1,1,ipopt,0.01013082143974927,0.11402950016781688,100,5.419276138951545e-15,2,1,0
K2_early_m41,2,41,1,2,ccp,0.009866618900399398,0.00046733301132917404,3,2.4070277021559505e-12,2,1,1
K2_early_m41,2,41,1,2,ipopt,0.014395754657002338,0.11294200038537383,100,-2.237793284010081e-16,2,1,0
K2_early_m41,2,41,1,3,ccp,0.009416519120860473,0.0003327918238937855,2,4.353231757708853e-09,2,1,1
K2_early_m41,2,41,1,3,ipopt,0.009416523474092758,0.12060737470164895,100,3.642919299551295e-17,2,1,0
K2_early_m41,2,41,1,4,ccp,0.014395754656749232,0.0006525423377752304,4,2.5309788986849213e-13,2,1,1
K2_early_m41,2,41,1,4,ipopt,0.010130820180826054,0.12022412521764636,100,1.2589285829089913e-09,2,1,0
K2_early_m41,2,41,1,5,ccp,0.014395754656662704,0.0005041658878326416,4,3.396311010206432e-13,2,1,1
K2_early_m41,2,41,1,5,ipopt,0.010130821439754203,0.11235050018876791,100,4.978656376053436e-16,2,1,0
K2_early_m41,2,41,1,6,ccp,0.010130821388711683,0.00045062508434057236,3,5.104300489222613e-11,2,1,1
K2_early_m41,2,41,1,6,ipopt,0.010130821436227407,0.11129766702651978,100,3.527284367366157e-12,2,1,0
K2_early_m41,2,41,1,7,ccp,0.010130821375890518,0.0003714580088853836,3,6.38641587530353e-11,2,1,1
K2_early_m41,2,41,1,7,ipopt,0.010130821435141327,0.11642416613176465,100,4.613370449546572e-12,2,1,0
K2_early_m41,2,41,1,8,ccp,0.009416520039468187,0.000502333976328373,3,3.4346242690219686e-09,2,1,1
K2_early_m41,2,41,1,8,ipopt,0.009416523474092758,0.11955654108896852,100,3.642919299551295e-17,2,1,0
K2_early_m41,2,41,1,9,ccp,0.014395754608493936,0.0006116251461207867,4,4.850831195057914e-11,2,1,1
K2_early_m41,2,41,1,9,ipopt,0.010130821439754682,0.11845187516883016,100,2.6020852139652106e-17,2,1,0
K2_early_m41,2,41,2,0,ccp,0.014395745662865105,0.0003409581258893013,2,8.994135361831135e-09,2,1,1
K2_early_m41,2,41,2,0,ipopt,0.014356259541259145,0.1224184581078589,100,3.945886960686831e-05,1,0,0
K2_early_m41,2,41,2,1,ccp,0.010130820527037641,0.00034904107451438904,2,9.127170234879411e-10,2,1,1
K2_early_m41,2,41,2,1,ipopt,0.010130821439754408,0.11070058308541775,100,2.8275992658421956e-16,2,1,0
K2_early_m41,2,41,2,2,ccp,0.009866618902668645,0.0004476672038435936,3,1.378411274011171e-13,2,1,1
K2_early_m41,2,41,2,2,ipopt,0.01438308933872922,0.11929612513631582,100,1.266321842639459e-05,1,0,0
K2_early_m41,2,41,2,3,ccp,0.009416516408964178,0.0003411672078073025,2,7.065127167332763e-09,2,1,1
K2_early_m41,2,41,2,3,ipopt,0.009416523474092772,0.11904004216194153,100,1.734723475976807e-18,2,1,0
K2_early_m41,2,41,2,4,ccp,0.014395754656771356,0.0007649576291441917,4,2.309246543985566e-13,2,1,1
K2_early_m41,2,41,2,4,ipopt,0.010122497338937664,0.11508929217234254,100,8.322345874590964e-06,1,0,0
K2_early_m41,2,41,2,5,ccp,0.01439575465665581,0.0006342921406030655,4,3.4655958658369457e-13,2,1,1
K2_early_m41,2,41,2,5,ipopt,0.010130821439754661,0.11796983378008008,100,3.2959746043559335e-17,2,1,0
K2_early_m41,2,41,2,6,ccp,0.010130821387563018,0.0004624580033123493,3,5.219167112380241e-11,2,1,1
K2_early_m41,2,41,2,6,ipopt,0.010130821439754682,0.11652087466791272,100,6.938893903907228e-18,2,1,0
K2_early_m41,2,41,2,7,ccp,0.010130821372741683,0.00036945799365639687,3,6.701301839828755e-11,2,1,1
K2_early_m41,2,41,2,7,ipopt,0.010130821439754276,0.11118362518027425,100,4.215378046623641e-16,2,1,0
K2_early_m41,2,41,2,8,ccp,0.009416519966829438,0.0005287919193506241,3,3.5072630060611898e-09,2,1,1
K2_early_m41,2,41,2,8,ipopt,0.009416523474092763,0.12806220771744847,100,2.6020852139652106e-17,2,1,0
K2_early_m41,2,41,2,9,ccp,0.009416519486616207,0.0003765840083360672,3,3.987476121861122e-09,2,1,1
K2_early_m41,2,41,2,9,ipopt,0.009416523474092761,0.12458499986678362,100,1.9081958235744878e-17,2,1,0
K2_early_m41,2,41,3,0,ccp,0.014395754190820845,0.00048612477257847786,2,4.661814389378405e-10,2,1,1
K2_early_m41,2,41,3,0,ipopt,0.01438675975840252,0.12584770936518908,100,8.993019900911323e-06,1,0,0
K2_early_m41,2,41,3,1,ccp,0.01013082143888254,0.0004043751396238804,2,8.721547789525275e-13,2,1,1
K2_early_m41,2,41,3,1,ipopt,0.010130821439754672,0.11982154194265604,100,1.3877787807814457e-17,2,1,0
K2_early_m41,2,41,3,2,ccp,0.009866618902735033,0.0004969588480889797,3,7.141336133553722e-14,2,1,1
K2_early_m41,2,41,3,2,ipopt,0.010130734808006539,0.11579066701233387,100,8.663155754394525e-08,1,0,0
K2_early_m41,2,41,3,3,ccp,0.009416523462910623,0.00031895795837044716,2,1.1182136813725485e-11,2,1,1
K2_early_m41,2,41,3,3,ipopt,0.009416523474092754,0.11864820914343,100,2.42861286636753e-17,2,1,0
K2_early_m41,2,41,3,4,ccp,0.01439575465678666,0.0007496247999370098,4,2.1587766296793376e-13,2,1,1
K2_early_m41,2,41,3,4,ipopt,0.010130806658801252,0.11763100000098348,100,1.4780947523232446e-08,2,0,0
K2_early_m41,2,41,3,5,ccp,0.014395754656495164,0.00048795901238918304,4,5.071724290539592e-13,2,1,1
K2_early_m41,2,41,3,5,ipopt,0.010130820180827643,0.10967420879751444,100,1.2589270095147986e-09,2,1,0
K2_early_m41,2,41,3,6,ccp,0.01013082137809224,0.0004435409791767597,3,6.166245639094292e-11,2,1,1
K2_early_m41,2,41,3,6,ipopt,0.010130821439740648,0.11264337506145239,100,1.4046055984984207e-14,2,1,0
K2_early_m41,2,41,3,7,ccp,0.010130821384945574,0.00037841685116291046,3,5.4809120783594345e-11,2,1,1
K2_early_m41,2,41,3,7,ipopt,0.01013082131352995,0.1122367917560041,100,1.262247389943738e-10,2,1,0
K2_early_m41,2,41,3,8,ccp,0.009416519995985525,0.0005074590444564819,3,3.478106901447231e-09,2,1,1
K2_early_m41,2,41,3,8,ipopt,0.009416523474092754,0.12461391696706414,100,2.42861286636753e-17,2,1,0
K2_early_m41,2,41,3,9,ccp,0.004991340884081097,0.00036454200744628906,2,4.175911402261312e-09,2,1,1
K2_early_m41,2,41,3,9,ipopt,0.00941652347409273,0.11648837476968765,100,6.245004513516506e-17,2,1,0
K2_early_m41,2,41,4,0,ccp,0.014395750628853985,0.00044004200026392937,2,4.028148075513327e-09,2,1,1
K2_early_m41,2,41,4,0,ipopt,0.01436055704296757,0.10719362506642938,100,3.5181380704305334e-05,1,0,0
K2_early_m41,2,41,4,1,ccp,0.010130821279612755,0.00033624982461333275,2,1.601419257618586e-10,2,1,1
K2_early_m41,2,41,4,1,ipopt,0.010130821439754672,0.10854712501168251,100,1.3877787807814457e-17,2,1,0
K2_early_m41,2,41,4,2,ccp,0.009866618902797004,0.000496541615575552,3,9.476794349261297e-15,2,1,1
K2_early_m41,2,41,4,2,ipopt,0.010130775169585687,0.11231437511742115,100,4.62701109840008e-08,2,0,0
K2_early_m41,2,41,4,3,ccp,0.009416517462999211,0.00034054089337587357,2,6.011092521310268e-09,2,1,1
K2_early_m41,2,41,4,3,ipopt,0.009416523474092735,0.12439058301970363,100,5.724587470723463e-17,2,1,0
K2_early_m41,2,41,4,4,ccp,0.014395754656795746,0.0006131250411272049,4,2.066524035226891e-13,2,1,1
K2_early_m41,2,41,4,4,ipopt,0.010130821439754592,0.11565324990078807,100,8.847089727481716e-17,2,1,0
K2_early_m41,2,41,4,5,ccp,0.014395754656496475,0.0005007917061448097,4,5.058904684052123e-13,2,1,1
K2_early_m41,2,41,4,5,ipopt,0.010130806658801252,0.12116304179653525,100,1.4780947523232446e-08,2,0,0
K2_early_m41,2,41,4,6,ccp,0.010130821384455244,0.0004771673120558262,3,5.5299450782420045e-11,2,1,1
K2_early_m41,2,41,4,6,ipopt,0.010130821439754651,0.11013741698116064,100,5.204170427930421e-17,2,1,0
K2_early_m41,2,41,4,7,ccp,0.010130821379630693,0.0003786669112741947,3,6.012399605959118e-11,2,1,1
K2_early_m41,2,41,4,7,ipopt,0.010130821439754637,0.1118805417791009,100,6.071532165918825e-17,2,1,0
K2_early_m41,2,41,4,8,ccp,0.009416520136655337,0.0005104593001306057,3,3.3374371287420157e-09,2,1,1
K2_early_m41,2,41,4,8,ipopt,0.009416523474092754,0.1256707077845931,100,2.42861286636753e-17,2,1,0
K2_early_m41,2,41,4,9,ccp,0.01439575461568347,0.0006463751196861267,4,4.131877479052193e-11,2,1,1
K2_early_m41,2,41,4,9,ipopt,0.005140359464708906,0.1176296672783792,100,0.006496754115055925,1,0,0
K2_early_m41,2,41,5,0,ccp,0.014395754657001398,0.0005668327212333679,3,9.558326352632207e-16,2,1,1
K2_early_m41,2,41,5,0,ipopt,0.014348563842037535,0.11526312492787838,100,4.713905806119287e-05,1,0,0
K2_early_m41,2,41,5,1,ccp,0.010130820921206058,0.0003772503696382046,2,5.185486328523892e-10,2,1,1
K2_early_m41,2,41,5,1,ipopt,0.010130821439754557,0.11432520812377334,100,1.3530843112619095e-16,2,1,0
K2_early_m41,2,41,5,2,ccp,0.009866618902656827,0.00048429099842906,3,1.4960428729171582e-13,2,1,1
K2_early_m41,2,41,5,2,ipopt,0.009995313316442156,0.11956162471324205,100,0.0001350401420529678,1,0,0
K2_early_m41,2,41,5,3,ccp,0.009416515175010704,0.00035233283415436745,2,8.299080145324211e-09,2,1,1
K2_early_m41,2,41,5,3,ipopt,0.009416523474092754,0.12235116679221392,100,2.42861286636753e-17,2,1,0
K2_early_m41,2,41,5,4,ccp,0.014395754656775738,0.0005904589779675007,4,2.2655315123909503e-13,2,1,1
K2_early_m41,2,41,5,4,ipopt,0.010130821439745707,0.11191533412784338,100,8.977193988179977e-15,2,1,0
K2_early_m41,2,41,5,5,ccp,0.014395754656659418,0.0005472083576023579,4,3.429461575832349e-13,2,1,1
K2_early_m41,2,41,5,5,ipopt,0.014395754657001249,0.11661712499335408,100,1.0980799602933189e-15,2,1,0
K2_early_m41,2,41,5,6,ccp,0.0101308213857489,0.0004742089658975601,3,5.40057911585512e-11,2,1,1
K2_early_m41,2,41,5,6,ipopt,0.010130821439446838,0.11571916611865163,100,3.0786137528160396e-13,2,1,0
K2_early_m41,2,41,5,7,ccp,0.01013082138017905,0.0003941669128835201,3,5.957563956049405e-11,2,1,1
K2_early_m41,2,41,5,7,ipopt,0.010130821439754682,0.11261508287861943,100,6.938893903907228e-18,2,1,0
K2_early_m41,2,41,5,8,ccp,0.00941651934437952,0.0006177080795168877,3,4.129712754055714e-09,2,1,1
K2_early_m41,2,41,5,8,ipopt,0.009416523474092761,0.1237929998897016,100,1.9081958235744878e-17,2,1,0
K2_early_m41,2,41,5,9,ccp,0.009416519890616579,0.00040854187682271004,3,3.5834758407155e-09,2,1,1
K2_early_m41,2,41,5,9,ipopt,0.009416523474092761,0.12438566703349352,100,1.9081958235744878e-17,2,1,0
K2_early_m41,2,41,6,0,ccp,0.014395754656972404,0.0005793329328298569,3,3.00003077935429e-14,2,1,1
K2_early_m41,2,41,6,0,ipopt,0.01424723604577837,0.12304679118096828,100,0.00014822814741731818,1,0,0
K2_early_m41,2,41,6,1,ccp,0.010130821429714672,0.00033625029027462006,2,1.0040020897994495e-11,2,1,1
K2_early_m41,2,41,6,1,ipopt,0.010126303975700603,0.11310737486928701,100,4.516912665040312e-06,1,0,0
K2_early_m41,2,41,6,2,ccp,0.009866618900092964,0.0005492079071700573,3,2.713506502827201e-12,2,1,1
K2_early_m41,2,41,6,2,ipopt,0.010130821439754682,0.12309008277952671,100,-9.8879238130678e-17,2,1,0
K2_early_m41,2,41,6,3,ccp,0.009416523381118098,0.0003548329696059227,2,9.297465054791676e-11,2,1,1
K2_early_m41,2,41,6,3,ipopt,0.009416523474092772,0.1279207500629127,100,1.734723475976807e-18,2,1,0
K2_early_m41,2,41,6,4,ccp,0.014395754656822593,0.0005887080915272236,4,1.798162313493279e-13,2,1,1
K2_early_m41,2,41,6,4,ipopt,0.010130821439754537,0.11506108287721872,100,1.3704315460216776e-16,2,1,0
K2_early_m41,2,41,6,5,ccp,0.014395754656555414,0.0004999171942472458,4,4.469567077558523e-13,2,1,1
K2_early_m41,2,41,6,5,ipopt,0.010130734808006539,0.11928583309054375,100,8.663155813548595e-08,1,0,0
K2_early_m41,2,41,6,6,ccp,0.010130821377688833,0.0005255001597106457,3,6.206586286583438e-11,2,1,1
K2_early_m41,2,41,6,6,ipopt,0.010130805894106788,0.14686541678383946,100,1.5545641371406127e-08,2,0,0
K2_early_m41,2,41,6,7,ccp,0.010130821380377415,0.00039237504824995995,3,5.937728433935696e-11,2,1,1
K2_early_m41,2,41,6,7,ipopt,0.010130821439695212,0.11388087505474687,100,5.947672909734081e-14,2,1,0
K2_early_m41,2,41,6,8,ccp,0.009416519957333298,0.0004972917959094048,3,3.516759130434144e-09,2,1,1
K2_early_m41,2,41,6,8,ipopt,0.009416523474092713,0.12692095804959536,100,6.765421556309548e-17,2,1,0
K2_early_m41,2,41,6,9,ccp,0.014395754618305088,0.0006444579921662807,4,3.869732312367091e-11,2,1,1
K2_early_m41,2,41,6,9,ipopt,0.014395746911689902,0.11697995802387595,100,7.745311062651306e-09,2,1,0
K2_early_m41,2,41,7,0,ccp,0.014395754656986795,0.0004642079584300518,3,1.5536183450848284e-14,2,1,1
K2_early_m41,2,41,7,0,ipopt,0.014395754654651337,0.11770062474533916,100,2.351036032521847e-12,2,1,0
K2_early_m41,2,41,7,1,ccp,0.010130820957734588,0.0004121246747672558,2,4.820201078559183e-10,2,1,1
K2_early_m41,2,41,7,1,ipopt,0.010130821438670043,0.11754820821806788,100,1.0846427922484025e-12,2,1,0
K2_early_m41,2,41,7,2,ccp,0.0098666187615131,0.00040062516927719116,2,1.4129336936563597e-10,2,1,1
K2_early_m41,2,41,7,2,ipopt,0.014395754639523594,0.12213020911440253,100,1.7478815270144388e-11,2,1,0
