instance,source,family,K,m,sampler,N,rep,phi,wall_s,ccp_iters,sandwich,regret_rel,miss
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,0,12.925006280336726,0.0037712501361966133,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,1,12.925006280336726,0.0033374582417309284,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,2,12.925006280336726,0.003042709082365036,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,3,12.925006280336726,0.0033353338949382305,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,4,12.925006280336726,0.003083667252212763,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,5,12.925006280336726,0.003120332956314087,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,6,12.925006280336726,0.0029375837184488773,17,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,7,12.925006280336726,0.0030190832912921906,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,8,12.925006280336726,0.003140375018119812,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,9,12.925006280336726,0.0029759174212813377,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,10,12.925006280336726,0.003011167049407959,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,11,12.925006280336726,0.0030632498674094677,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,12,12.925006280336726,0.0027888333424925804,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,13,12.925006280336726,0.0027830000035464764,17,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,14,12.925006280336726,0.00293516693636775,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,15,12.925006280336726,0.0027817091904580593,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,16,12.925006280336726,0.003088083118200302,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,17,12.925006280336726,0.003304624930024147,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,18,12.925006280336726,0.0028949170373380184,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,19,12.925006280336726,0.0028892923146486282,17,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,20,12.925006280336726,0.003058125264942646,18,False,0.0,0
syn_K3_m30_s0_gauss,synthetic,gauss,3,30,exp,128,21,12.925006280336726,0.0029750829562544823,18,False,0.0,0
