=== K=6 FAST trial: trial_K6_d11910_h96x96_tanh_n50000_eps0.001_fast_msvrg_without_256_checkpoints_cert ===
  Fast outer 0/3000 | t=0.00s | bundle=1 | grad_equiv=0.0 | self-reported pc=nan
  Fast outer 42/3000 | t=17.04s | bundle=43 | grad_equiv=605.9 | self-reported pc=4.6733e-01
  Fast outer 74/3000 | t=33.06s | bundle=75 | grad_equiv=1206.8 | self-reported pc=2.6612e-01
  Fast outer 106/3000 | t=48.80s | bundle=107 | grad_equiv=1807.8 | self-reported pc=2.0819e-01
  Fast outer 138/3000 | t=65.84s | bundle=139 | grad_equiv=2408.7 | self-reported pc=1.2303e-01
  Fast outer 170/3000 | t=83.25s | bundle=171 | grad_equiv=3009.7 | self-reported pc=1.5760e-01
  Fast outer 202/3000 | t=100.21s | bundle=203 | grad_equiv=3610.6 | self-reported pc=9.9151e-02
  Fast outer 234/3000 | t=117.64s | bundle=235 | grad_equiv=4211.6 | self-reported pc=1.1960e-01
  Fast outer 266/3000 | t=135.84s | bundle=267 | grad_equiv=4812.5 | self-reported pc=7.4880e-02
  Fast outer 298/3000 | t=154.26s | bundle=299 | grad_equiv=5413.5 | self-reported pc=5.8110e-02
  Fast outer 330/3000 | t=172.94s | bundle=331 | grad_equiv=6014.4 | self-reported pc=7.0576e-02
  Fast outer 362/3000 | t=193.34s | bundle=363 | grad_equiv=6615.3 | self-reported pc=1.0320e-01
  Fast outer 394/3000 | t=214.25s | bundle=395 | grad_equiv=7216.3 | self-reported pc=1.1144e-01
  Fast outer 426/3000 | t=235.90s | bundle=427 | grad_equiv=7817.2 | self-reported pc=7.1313e-02
  Fast outer 458/3000 | t=258.44s | bundle=459 | grad_equiv=8418.2 | self-reported pc=7.5405e-02
  Fast outer 489/3000 | t=280.68s | bundle=491 | grad_equiv=9019.1 | self-reported pc=1.2207e-01
  Fast outer 521/3000 | t=303.26s | bundle=523 | grad_equiv=9620.1 | self-reported pc=6.1405e-02
  Fast outer 553/3000 | t=325.47s | bundle=555 | grad_equiv=10221.0 | self-reported pc=5.8769e-02
  Fast outer 576/3000 | t=346.19s | bundle=587 | grad_equiv=10822.0 | self-reported pc=9.1307e-02
  Fast outer 608/3000 | t=369.52s | bundle=619 | grad_equiv=11422.9 | self-reported pc=7.8588e-02
  Fast outer 638/3000 | t=393.40s | bundle=651 | grad_equiv=12023.8 | self-reported pc=5.6228e-02
  Fast outer 660/3000 | t=414.85s | bundle=683 | grad_equiv=12624.8 | self-reported pc=9.8179e-02
  Fast outer 691/3000 | t=440.38s | bundle=715 | grad_equiv=13225.7 | self-reported pc=5.3509e-02
  Fast outer 723/3000 | t=466.02s | bundle=747 | grad_equiv=13826.7 | self-reported pc=8.8536e-02
  Fast outer 737/3000 | t=487.09s | bundle=780 | grad_equiv=14446.4 | self-reported pc=4.1838e-02
  Fast outer 766/3000 | t=514.95s | bundle=812 | grad_equiv=15047.3 | self-reported pc=7.8034e-02
  Fast outer 787/3000 | t=539.03s | bundle=844 | grad_equiv=15648.3 | self-reported pc=5.4841e-02
  Fast outer 815/3000 | t=565.88s | bundle=876 | grad_equiv=16249.2 | self-reported pc=5.6886e-02
  Fast outer 824/3000 | t=591.59s | bundle=915 | grad_equiv=16981.6 | self-reported pc=4.1547e-02
  Fast outer 831/3000 | t=614.22s | bundle=949 | grad_equiv=17620.1 | self-reported pc=4.8877e-02
  Fast outer 839/3000 | t=638.86s | bundle=984 | grad_equiv=18277.4 | self-reported pc=6.4460e-02
  Fast outer 853/3000 | t=667.62s | bundle=1020 | grad_equiv=18953.5 | self-reported pc=4.8258e-02
  Fast outer 858/3000 | t=691.41s | bundle=1054 | grad_equiv=19592.0 | self-reported pc=4.3580e-02
  Fast outer 865/3000 | t=717.14s | bundle=1088 | grad_equiv=20230.5 | self-reported pc=3.8018e-02
  Fast outer 879/3000 | t=748.86s | bundle=1129 | grad_equiv=21000.5 | self-reported pc=4.0866e-02
  Fast outer 884/3000 | t=775.72s | bundle=1161 | grad_equiv=21601.4 | self-reported pc=6.4992e-02
  Fast outer 897/3000 | t=805.51s | bundle=1193 | grad_equiv=22202.3 | self-reported pc=4.1245e-02
